City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Khandbari,NP,81.34,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
423,Labuhan,ID,83.39,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
427,Along,IN,84.15,broken clouds,28.1667,94.7667,Hotel West
428,Salalah,OM,89.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
430,Azare,NG,96.12,overcast clouds,11.6765,10.1948,Muk hostel
431,Gambela,ET,86.23,broken clouds,8.25,34.5833,Solomon Debebe Hotel
432,Chahuites,MX,81.57,overcast clouds,16.2833,-94.1833,Casa de los hermanos Matus moreno
434,Zhezkazgan,KZ,86.97,broken clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
435,Syracuse,IT,87.8,clear sky,37.0881,15.2792,Hotel Posta
439,Bhavnagar,IN,91.4,heavy intensity rain,21.7667,72.15,Hotel Relax Inn
440,Chokwe,MZ,84.11,few clouds,-24.5333,32.9833,Complexo Sonho Real
442,Shenxian,CN,81.82,overcast clouds,36.2411,115.6672,Xinhe Hotel
444,Caxito,AO,84.2,scattered clouds,-8.5785,13.6643,
445,Laug,PH,91.99,broken clouds,15.0471,120.7509,stone place
446,Chaibasa,IN,98.6,haze,22.5667,85.8167,Capital O 64608 Hotel Shifa Manor
449,Jalu,LY,83.98,clear sky,29.0331,21.5482,صاحبة الفخامة
450,Marawi,PH,87.01,light rain,7.9986,124.2928,Derogongan Residence
470,Lugus,PH,84.67,overcast clouds,5.7036,120.8203,
474,Gunjur,GM,80.6,clear sky,13.2019,-16.7339,Kuba Lodge
475,Ozinki,RU,87.73,clear sky,51.1786,49.6769,Korolevskiy Dvor
479,Shabrovskiy,RU,89.6,clear sky,56.636,60.5807,Lesnyye Tropy
480,Maamba,ZM,83.8,clear sky,-17.3667,27.15,
482,Hue,VN,91.4,few clouds,16.4667,107.6,Saigon Morin Hotel
484,Kantemirovka,RU,80.49,broken clouds,49.7089,39.8592,Premier Hotel
488,Shetpe,KZ,91.24,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
491,Monrovia,LR,84.2,scattered clouds,6.3005,-10.7969,Sunset Inn
497,Kayasula,RU,88.5,clear sky,44.325,45.0,
500,Pokhara,NP,92.73,broken clouds,28.2333,83.9833,Butterfly Lodge
501,Jasdan,IN,95.0,heavy intensity rain,22.0333,71.2,Radhuvir Guest House & A World Restaurant
510,Kupang,ID,80.6,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
513,Garowe,SO,96.3,overcast clouds,8.4054,48.4845,Curubo Hotel
514,Poltavka,RU,90.63,scattered clouds,54.3663,71.7632,
518,Sattur,IN,96.8,few clouds,9.3667,77.9333,Jaypriya Residency
520,Kabalo,CD,87.62,overcast clouds,-6.05,26.9167,
521,Sokoto,NG,97.14,scattered clouds,13.0609,5.239,Shukura Coral Hotel
523,Luancheng,CN,82.4,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
525,Yenagoa,NG,85.71,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
526,Kavaratti,IN,83.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
527,Ximei,CN,87.8,few clouds,24.9639,118.3794,Nan'an Hotel
533,Harper,LR,81.88,light rain,4.375,-7.7169,Screensaver
