City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Mahebourg,MU,2021-05-12 04:55:14,-20.4081,57.7,73.4,88,20,10.25
102,Formosa,AR,2021-05-12 04:50:58,-26.1775,-58.1781,55.4,94,0,3.44
103,Khatanga,RU,2021-05-12 04:55:15,71.9667,102.5,32.79,100,100,8.46
104,Muros,ES,2021-05-12 04:55:15,42.7762,-9.0603,55.99,90,28,20.0
105,Bria,CF,2021-05-12 04:55:15,6.5423,21.9863,70.12,95,100,7.58
106,Izhma,RU,2021-05-12 04:55:16,65.0083,53.9113,60.15,70,99,10.18
107,Aklavik,CA,2021-05-12 04:55:16,68.2191,-135.0107,37.4,64,100,10.36
108,Beihai,CN,2021-05-12 04:55:16,21.4833,109.1,86.32,68,16,8.5
109,Port Alfred,ZA,2021-05-12 04:55:17,-33.5906,26.891,59.79,86,9,14.74
110,Hilo,US,2021-05-12 04:55:17,19.7297,-155.09,78.8,65,40,8.05
111,Hofn,IS,2021-05-12 04:55:18,64.2539,-15.2082,33.89,64,62,3.74
112,Mezen,RU,2021-05-12 04:55:18,65.8522,44.24,60.04,71,99,10.67
113,Nadym,RU,2021-05-12 04:55:18,65.5333,72.5167,48.63,52,59,9.42
114,Nikko,JP,2021-05-12 04:55:19,36.75,139.6167,69.01,33,100,5.99
115,Codrington,AU,2021-05-12 04:55:19,-38.2667,141.9667,60.3,54,0,5.06
116,Dondaicha,IN,2021-05-12 04:55:20,21.3333,74.5667,94.48,37,5,15.55
117,Cheney,US,2021-05-12 04:55:20,47.4874,-117.5758,62.6,27,20,5.75
118,Xai-Xai,MZ,2021-05-12 04:55:20,-25.0519,33.6442,63.52,91,2,6.04
119,Oranjemund,NA,2021-05-12 04:55:12,-28.55,16.4333,56.8,85,0,4.92
120,Lena,ES,2021-05-12 04:55:21,43.1,-5.7333,51.01,86,59,1.99
121,Auki,SB,2021-05-12 04:55:21,-8.7676,160.7034,82.44,75,72,1.34
122,Igdir,TR,2021-05-12 04:55:22,39.9237,44.045,57.2,67,0,4.61
123,Port-Cartier,CA,2021-05-12 04:55:22,50.0334,-66.8654,41.0,93,75,3.44
124,Faanui,PF,2021-05-12 04:55:22,-16.4833,-151.75,82.2,74,41,19.62
125,Le Port,RE,2021-05-12 04:55:23,-20.9373,55.2919,80.6,65,0,10.36
126,Kaitangata,NZ,2021-05-12 04:55:23,-46.2817,169.8464,46.99,68,52,1.19
127,Pevek,RU,2021-05-12 04:55:24,69.7008,170.3133,25.45,82,100,0.78
128,Terrace,CA,2021-05-12 04:55:24,54.5163,-128.6035,55.4,58,75,4.61
129,Atar,MR,2021-05-12 04:55:25,20.5169,-13.0499,80.06,13,0,11.41
130,Kiunga,PG,2021-05-12 04:55:25,-6.1219,141.2906,90.39,56,64,1.92
131,Hami,CN,2021-05-12 04:55:25,42.8,93.45,74.8,31,100,5.57
132,Kumo,NG,2021-05-12 04:55:26,10.0447,11.2122,80.33,62,13,9.1
133,Gigmoto,PH,2021-05-12 04:55:26,13.7796,124.39,85.64,71,27,7.76
134,Kenora,CA,2021-05-12 04:55:26,49.8167,-94.4337,48.2,40,1,6.91
135,Clarence Town,AU,2021-05-12 04:55:27,-32.5833,151.7833,69.01,77,75,10.36
136,Lasa,IT,2021-05-12 04:55:27,46.6166,10.7002,46.0,100,75,8.05
137,Chuy,UY,2021-05-12 04:55:28,-33.6971,-53.4616,52.95,71,78,6.73
138,Korla,CN,2021-05-12 04:55:28,41.7597,86.1469,62.91,48,99,17.52
139,Yerbogachen,RU,2021-05-12 04:52:34,61.2767,108.0108,40.3,45,100,7.9
140,Samarai,PG,2021-05-12 04:55:29,-10.6167,150.6667,83.08,73,18,9.37
141,Xuanhua,CN,2021-05-12 04:55:30,40.6103,115.0447,67.5,37,97,5.66
142,Urengoy,RU,2021-05-12 04:52:35,65.9667,78.3667,43.65,52,85,10.76
143,Hithadhoo,MV,2021-05-12 04:55:30,-0.6,73.0833,81.84,77,99,12.28
144,Singaraja,ID,2021-05-12 04:55:31,-8.112,115.0882,86.14,65,42,3.31
145,Zhengjiatun,CN,2021-05-12 04:55:31,43.5064,123.5064,74.82,11,60,19.35
146,Saint George,US,2021-05-12 04:55:32,37.1041,-113.5841,73.4,10,1,11.5
147,Presidente Epitacio,BR,2021-05-12 04:55:32,-21.7633,-52.1156,65.95,65,44,5.88
148,Boa Vista,BR,2021-05-12 04:55:09,2.8197,-60.6733,75.2,94,90,16.11
149,Lata,PT,2021-05-12 04:55:33,40.1629,-8.3327,54.0,92,90,4.0
150,Mushie,CD,2021-05-12 04:55:33,-3.0167,16.9,70.12,89,0,2.82
151,Inta,RU,2021-05-12 04:55:34,66.0317,60.1659,45.46,89,100,12.03
152,Vila,PT,2021-05-12 04:55:32,42.0304,-8.1588,51.01,89,89,18.01
153,Dikson,RU,2021-05-12 04:55:35,73.5069,80.5464,29.14,88,100,17.67
154,Bulaevo,KZ,2021-05-12 04:55:35,54.9056,70.4439,68.61,30,31,13.35
155,Kumeny,RU,2021-05-12 04:55:36,58.1089,49.9161,62.47,64,76,5.82
156,Upernavik,GL,2021-05-12 04:55:36,72.7868,-56.1549,27.3,97,99,3.02
157,Lingao,CN,2021-05-12 04:55:37,19.9103,109.6859,89.8,53,13,3.56
158,Saldanha,ZA,2021-05-12 04:55:37,-33.0117,17.9442,48.2,87,0,3.44
159,Laviana,ES,2021-05-12 04:55:38,43.2333,-5.5333,51.01,89,52,4.0
160,Castro,BR,2021-05-12 04:55:38,-24.7911,-50.0119,57.65,80,100,2.98
161,Ponta Delgada,PT,2021-05-12 04:55:38,37.7333,-25.6667,53.6,87,20,4.61
162,Pacific Grove,US,2021-05-12 04:51:32,36.6177,-121.9166,54.0,90,35,1.79
163,San Cristobal,VE,2021-05-12 04:55:39,7.7669,-72.225,64.69,92,96,3.74
164,Kungurtug,RU,2021-05-12 04:55:39,50.5994,97.5228,54.64,29,94,1.63
165,Mao,ES,2021-05-12 04:55:40,39.8885,4.2658,55.4,88,0,5.75
166,Uncia,BO,2021-05-12 04:55:40,-18.467,-66.5685,45.84,69,81,0.81
167,Datong,CN,2021-05-12 04:55:40,40.0936,113.2914,74.57,27,25,2.66
168,Burns Lake,CA,2021-05-12 04:55:41,54.2331,-125.7533,53.6,50,100,6.91
